Common_name,Scientific_name,Set,Color,Power_text,Flavor_text,Predator,Flocking,Bonus_card,Victory_points,Nest_type,Egg_limit,Wingspan,Forest,Grassland,Wetland,Invertebrate,Seed,Fish,Fruit,Rodent,Nectar,Wild_food,food_cost_flexible,food_cost_paid_by_cards,Total_food_cost,Swift_Start,North_America,Central_America,South_America,Europe,Asia,Africa,Oceania,Anatomist,Cartographer,Historian,Photographer,Backyard_Birder,Bird_Bander,Bird_Counter,Bird_Feeder,Diet_Specialist,Enclosure_Builder,Endangered_Species_Protector,Falconer,Fishery_Manager,Food_Web_Expert,Forester,Large_Bird_Specialist,Nest_Box_Builder,Omnivore_Expert,Passerine_Specialist,Platform_Builder,Prairie_Manager,Rodentologist,Small_Clutch_Specialist,Viticulturalist,Wetland_Scientist,Wildlife_Gardener
Australasian Shoveler,Spatula rhynchotis,oceania,brown,Choose 1 other player. You both draw 1 [card] from the deck.,"This bird’s Māori name, kuruwhengi, means ""snuffle.""",FALSE,FALSE,FALSE,4,ground,4,75,FALSE,FALSE,TRUE,1,1,0,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Australian Ibis,Threskiornis moluccus,oceania,brown,"Shuffle the discard pile, then draw 2 [card] from it. Choose 1 and tuck it behind this bird or add it to your hand. Discard the other.","In urban areas, this bird is nicknamed ""bin chicken"" for its habit of eating trash.",FALSE,TRUE,FALSE,5,platform,2,118,FALSE,TRUE,TRUE,1,0,1,0,0,0,1,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
Australian Magpie,Gymnorhina tibicen,oceania,yellow,"Discard 1 [egg] from each bird in this row and column that has an [egg] on it, excluding this bird. For each discarded [egg], cache 2 [seed] from the supply on this bird.",These territorial birds will swoop at humans who get too close to their nests.,FALSE,FALSE,FALSE,4,platform,2,75,FALSE,TRUE,FALSE,1,0,0,0,2,0,0,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
Australian Owlet-Nightjar,Aegotheles cristatus,oceania,pink,"When another player takes the ""gain food"" action, gain 1 [invertebrate] from the birdfeeder, if there is one, at the end of their turn.","This small nocturnal bird is also known as the moth owl, but it is not an owl.",FALSE,FALSE,FALSE,2,cavity,2,28,TRUE,TRUE,TRUE,1,0,0,0,1,0,0,TRUE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Australian Raven,Corvus coronoides,oceania,yellow,Cache up to 5 [wild] from your supply on this bird.,"Ravens will cache extra food under debris, in grass tussocks, or in the soil.",FALSE,FALSE,FALSE,7,platform,3,100,TRUE,TRUE,TRUE,1,0,0,0,1,0,1,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Australian Reed Warbler,Acrocephalus australis,oceania,white,Play another bird in your wetland. Pay its normal cost with a 1 [egg] discount.,"These birds like to perch on dense, vertical wetland vegetation like reeds and rushes.",FALSE,FALSE,FALSE,2,bowl,3,21,FALSE,FALSE,TRUE,1,0,0,0,0,0,0,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Australian Shelduck,Tadorna tadornoides,oceania,brown,Draw 1 face-up [card] from the tray with a [cavity] or [star] nest. You may reset or refill the tray before doing so.,"These birds nest in tree cavities, holes in banks, or similar locations.",FALSE,FALSE,FALSE,3,cavity,4,113,FALSE,FALSE,TRUE,1,1,0,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Australian Zebra Finch,Taeniopygia castanotis,oceania,brown,"If the player to your right has a [seed] in their personal supply, tuck a [card] from the deck behind this bird.","Zebra finches will nest in colonies of as many as 50, building round nests with a side entrance.",FALSE,FALSE,FALSE,1,wild,3,22,FALSE,TRUE,FALSE,0,1,0,0,0,0,0,FALSE,FALSE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
Azure Tit,Cyanistes cyanus,asia,brown,"Gain 1 [invertebrate], [seed], or [fruit] from the supply.",This species will hybridize with the Eurasian Blue Tit where their ranges overlap.,FALSE,FALSE,FALSE,2,cavity,4,22,TRUE,FALSE,FALSE,1,1,0,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Baird's Sparrow,Ammodramus bairdii,core,brown,Lay 1 [egg] on any bird.,Spencer Fullerton Baird was the first curator of the Smithsonian.,FALSE,FALSE,FALSE,3,ground,2,23,FALSE,TRUE,FALSE,1,1,0,0,0,0,0,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Bald Eagle,Haliaeetus leucocephalus,core,white,Gain all [fish] that are in the birdfeeder.,Bald eagles steal fish. Benjamin Franklin thought this was a bad choice for the US national bird.,FALSE,FALSE,FALSE,9,platform,1,203,FALSE,FALSE,TRUE,0,0,2,0,1,0,0,FALSE,FALSE,3,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
Baltimore Oriole,Icterus galbula,core,brown,All players gain 1 [fruit] from the supply.,Orioles weave pouch nests that hang from a tree nest.,FALSE,FALSE,FALSE,9,wild,2,30,TRUE,FALSE,FALSE,1,0,0,2,0,0,0,FALSE,FALSE,3,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
Barn Owl,Tyto alba,core,brown,"Roll all dice not in birdfeeder. If any are [rodent], cache 1 [rodent] from the supply on this bird.",Barn owls use their excellent hearing to catch prey in the dark and will cache surplus for later.,TRUE,FALSE,FALSE,5,cavity,4,107,TRUE,TRUE,TRUE,0,0,0,0,2,0,0,FALSE,FALSE,2,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
Barn Swallow,Hirundo rustica,core,brown,"Tuck 1 [card] from your hand behind this bird. If you do, draw 1 [card].",Barn swallows once nested in caves but now favor human-made structures.,FALSE,TRUE,FALSE,1,wild,3,38,FALSE,TRUE,TRUE,1,0,0,0,0,0,0,FALSE,FALSE,1,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Barred Owl,Strix varia,core,brown,"Look at a [card] from the deck. If less than 75cm, tuck it behind this bird. If not, discard it.","The barred owl's haunting call sounds like ""Who cooks for you?""",TRUE,FALSE,FALSE,3,cavity,2,107,TRUE,FALSE,FALSE,0,0,0,0,1,0,0,FALSE,FALSE,1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
Barrow's Goldeneye,Bucephala islandica,core,pink,"When another player takes the ""lay eggs"" action, lay 1 [egg] on another bird with a [cavity] nest.",These ducks will lay their eggs in the nest of any cavity-nesting duck.,FALSE,FALSE,FALSE,5,cavity,4,71,FALSE,FALSE,TRUE,1,1,1,0,0,0,0,FALSE,FALSE,3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Baya Weaver,Ploceus philippinus,asia,brown,"Tuck up to 3 [card] from your hand behind this bird. If you tuck at least 1 [card], lay 1 [egg] on this bird.",These gregarious birds may weave up to 60 nests in a single tree.,FALSE,TRUE,FALSE,3,wild,3,27,FALSE,TRUE,TRUE,1,2,0,0,0,0,0,FALSE,FALSE,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Bearded Reedling,Panurus biarmicus,asia,teal,"For each other bird in this column with an egg on it, lay 1 [egg] on this bird.","These birds have up to 4 broods per year, and sometimes breed the same year they were born.",FALSE,FALSE,FALSE,2,bowl,6,17,FALSE,FALSE,TRUE,1,1,0,0,0,0,0,FALSE,FALSE,2,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
Bell's Vireo,Vireo bellii,core,white,Draw 2 new bonus cards and keep 1.,John Graham Bell taught taxidermy to future US President Theodore Roosevelt.,FALSE,FALSE,TRUE,4,wild,2,18,TRUE,TRUE,FALSE,2,0,0,0,0,0,0,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
Belted Kingfisher,Megaceryle alcyon,core,pink,"When another player plays a bird in their [wetland], gain 1 [fish] from the supply.",A kingfisher burrow can go up to 2 meters into a riverbank and slopes to shed water.,FALSE,FALSE,FALSE,4,wild,4,53,FALSE,FALSE,TRUE,0,0,1,0,0,0,1,FALSE,FALSE,2,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
